id,estado,direccion_completa,tipo,lon,lat
1,Amazonas,"Ambulatorio, Unnamed Road, 7101, Amazonas, Venezuela",Hospital,-67.812629,5.06633
2,Amazonas,"Estado  Amazonas , Ciudad Puerto Ayacucho Av. 23 De Enero (Diagonal Al Hospital) Puerto Ayacucho. Centro Medico Dr Pedro J Zerpa C.a . Teléfonos:  (0248) 521.4707 /  0631 / 2815 / Fax:
521.2815",Privada,-67.6215016,5.6653074
3,Amazonas,"Estado Amazonas , Municipio Autonomo Atures , Fernando Giron Tovar Hospital Dr. Jose Gregorio Hernandez Hospital Tipo Ii Barrio Carnevalli Av. 23 De Enero Fernando Girón Tovar, 7101, Amazonas, Venezuela",Hospital,-67.3324602,5.6414849
4,Anzoátegui,"Estado  Anzoategui , Ciudad Anaco Calle Industria Con Calle Colombia. Anaco Grupo Medico Oriente, C.a . Teléfonos:  (0282)422.2476 / Fax: 422.1033",Privada,-64.4640452,9.4197678
5,Anzoátegui,"Estado  Anzoategui , Ciudad Barcelona Av. Caracas. Barcelona. Centro Medico Zambrano, C.a. . Teléfonos:  (0281)  270.1311 / 1191 / 1211",Privada,-64.6912501,10.1364109
6,Anzoátegui,"Estado  Anzoategui , Ciudad Barcelona Calle Monagas, No. 18-97, Sector Buenos Aires, Detrás De La Gobernación. Barcelona. Unidad Pediatrica De Oriente C.a. . Teléfonos:  (0281) 277.1480 / Fax: 274.4184",Privada,-64.6930307,10.1412226
7,Anzoátegui,"Estado  Anzoategui , Ciudad El Tigre Calle 20 Sur, Loc. 8 (Al Lado De Intercable) El Tigre Centro Medico Mazzarri Rey, C.a. . Teléfonos:  (0283) 241.0467 / 3949",Privada,-64.2353153,8.8947049
8,Anzoátegui,"Estado  Anzoategui , Ciudad El Tigre Av. Francisco De Miranda, Nro. 2-23. Frente Al Colegio La Coromoto. Clinica Santa Rosa C A . Teléfonos:  (0283) 500.5100 Ext: 149",Privada,-64.233411,8.8957382
9,Anzoátegui,"Estado  Anzoategui , Ciudad Lecherias Av. Principal De Lecherías Con Calle 7 Edificio Don Pio, Lecherías Clinica El Morro, C.a. . Teléfonos:  (0281) 281.8062 / 281.8072",Privada,-64.692462,10.1982469
10,Anzoátegui,"Estado  Anzoategui , Ciudad Puerto La Cruz Av. Ppal. Urb. Caribe, Nro. 43. Puerto La Cruz. Centro Clinico Santa Ana . Teléfonos:  (0281) 500,9262-9256-9255-9230 / 267-
1512 / Fax: 500,9238",Privada,-64.6375004,10.2092414
11,Anzoátegui,"Estado  Anzoategui , Ciudad Puerto La Cruz Final Calle 1, Sector Chuparin. Puerto La Cruz. Centro De Especialidades Medicas Virgen Del Valle . Teléfonos:  (0281) 266.0861 / 268.5301",Privada,-64.6277385,10.2048288
12,Anzoátegui,"Estado  Anzoategui , Ciudad Puerto La Cruz Calle Democracia C/C Freites. Centro Puerto La Cruz. Centro Medico Total, C A . Teléfonos:  (0281) 265.76.11 / 265.73.11 / 267.02.94",Privada,-64.6327686,10.2209604
13,Anzoátegui,"Estado  Anzoategui , Ciudad Puerto La Cruz Calle Las Flores, Av. Alberto Ravell, Edificio Centro Trauma Quirurgico Nazaret. Puerto La Cruz Centro Trauma Quirurgico Nazaret C A . Teléfonos:  Telefax: (0281)  2656862",Privada,-64.6320333,10.2250098
14,Anzoátegui,"Estado  Anzoategui , Ciudad Puerto La Cruz Av. Jorge Rodriguez, Edif. Clínica Meditotal, Frente A Minfra Las Garzas. Meditotal . Teléfonos:  (0281) 286.98.45/ 286.52.34 / 286.76.22/
286.76.46 / Fax: 287.2196",Privada,-64.68246,10.1453217
15,Anzoátegui,"Clínica Esperanza Paraco, Calle 23 De Enero, San José De Guanipa, Anzoátegui, Venezuela",Clínica,-64.1855408,8.8978875
16,Anzoátegui,"Hospital De San Tomé, Estacionamiento Hospital De San Tome, San Tome 6007, Anzoátegui, Venezuela",Hospital,-64.127208,8.9423153
17,Anzoátegui,"Pediatría, Avenida Los Chaparros, San Tomé 6007, Anzoátegui, Venezuela",Clínica,-64.1279497,8.9428462
